age,sex,ftotinc,n
18,male,"$100,000 to $124,999",2190
18,male,"$125,000 to $149,999",1674
18,male,"$15,000 to $19,999",575
18,male,"$150,000 to $174,999",1096
18,male,"$175,000 to $199,999",714
18,male,"$20,000 to $24,999",641
18,male,"$200,000 to $249,999",876
18,male,"$25,000 to $29,999",593
18,male,"$250,000 and above",2584
18,male,"$30,000 to $34,999",738
18,male,"$35,000 to $39,999",698
18,male,"$40,000 to $44,999",732
18,male,"$45,000 to $49,999",656
18,male,"$50,000 to $54,999",712
18,male,"$55,000 to $59,999",564
18,male,"$60,000 to $64,999",650
18,male,"$65,000 to $69,999",598
18,male,"$70,000 to $74,999",573
18,male,"$75,000 to $79,999",572
18,male,"$80,000 to $84,999",561
18,male,"$85,000 to $89,999",560
18,male,"$90,000 to $94,999",543
18,male,"$95,000 to $99,999",466
18,male,"Less than $14,999",1139
18,female,"$100,000 to $124,999",2095
18,female,"$125,000 to $149,999",1407
18,female,"$15,000 to $19,999",536
18,female,"$150,000 to $174,999",1061
18,female,"$175,000 to $199,999",727
18,female,"$20,000 to $24,999",601
18,female,"$200,000 to $249,999",815
18,female,"$25,000 to $29,999",597
18,female,"$250,000 and above",2129
18,female,"$30,000 to $34,999",679
18,female,"$35,000 to $39,999",597
18,female,"$40,000 to $44,999",644
18,female,"$45,000 to $49,999",626
18,female,"$50,000 to $54,999",613
18,female,"$55,000 to $59,999",602
18,female,"$60,000 to $64,999",649
18,female,"$65,000 to $69,999",555
18,female,"$70,000 to $74,999",585
18,female,"$75,000 to $79,999",548
18,female,"$80,000 to $84,999",525
18,female,"$85,000 to $89,999",496
18,female,"$90,000 to $94,999",461
18,female,"$95,000 to $99,999",465
18,female,"Less than $14,999",1124
19,male,"$100,000 to $124,999",1889
19,male,"$125,000 to $149,999",1285
19,male,"$15,000 to $19,999",494
19,male,"$150,000 to $174,999",904
19,male,"$175,000 to $199,999",584
19,male,"$20,000 to $24,999",525
19,male,"$200,000 to $249,999",672
19,male,"$25,000 to $29,999",554
19,male,"$250,000 and above",7420
19,male,"$30,000 to $34,999",604
19,male,"$35,000 to $39,999",595
19,male,"$40,000 to $44,999",600
19,male,"$45,000 to $49,999",592
19,male,"$50,000 to $54,999",593
19,male,"$55,000 to $59,999",489
19,male,"$60,000 to $64,999",532
19,male,"$65,000 to $69,999",514
19,male,"$70,000 to $74,999",527
19,male,"$75,000 to $79,999",504
19,male,"$80,000 to $84,999",546
19,male,"$85,000 to $89,999",434
19,male,"$90,000 to $94,999",440
19,male,"$95,000 to $99,999",453
19,male,"Less than $14,999",1318
19,female,"$100,000 to $124,999",1637
19,female,"$125,000 to $149,999",1160
19,female,"$15,000 to $19,999",523
19,female,"$150,000 to $174,999",760
19,female,"$175,000 to $199,999",501
19,female,"$20,000 to $24,999",540
19,female,"$200,000 to $249,999",611
19,female,"$25,000 to $29,999",533
19,female,"$250,000 and above",8186
19,female,"$30,000 to $34,999",556
19,female,"$35,000 to $39,999",549
19,female,"$40,000 to $44,999",572
19,female,"$45,000 to $49,999",488
19,female,"$50,000 to $54,999",514
19,female,"$55,000 to $59,999",444
19,female,"$60,000 to $64,999",519
19,female,"$65,000 to $69,999",478
19,female,"$70,000 to $74,999",459
